titre_du_poste,compagnie,date_publication,ville,domaine,specialité,diplome_requis,annee_experience,type_contrat,competences,source_url
Officier.ere ACAT et Promotion à l’Hygiène,HELVETAS Swiss Intercooperation/Haiti,7 Aout 2024,Jacmel,Sciences Humaines et Sociales,Sciences Sociales,Non précisé,4.0,CDD,"['Diplôme universitaire ou certificat en sciences sociales ou équivalent', 'Minimun quatre (4) années d’expérience professionnelle dans l’ACAT (approche communautaire pour l’assainissement total)', 'Expérience en matière de mobilisation/participation communautaire', 'Connaissance des outils participatifs un atout', 'Connaissance et Expérience de travail dans l’urgence avec les communautés']",https://jobpaw.com/professionals/job-details?idj=16500
Facilitateur.trice,HELVETAS Swiss Intercooperation/Haiti,7 Aout 2024,Jacmel,Sciences Humaines et Sociales,Sciences Sociales,Licence,3.0,CDD,"['Diplôme universitaire ou certificat en sciences sociales ou équivalent', 'Minimum trois (3) années d’expérience professionnelle dans la facilitation', 'Expérience en matière de mobilisation/participation communautaire', 'Expérience en ACAT (Approche communautaire pour l’Assainissement total), un atout', 'Connaissance des outils participatifs un atout']",https://jobpaw.com/professionals/job-details?idj=16501
Officier Construction EPA,HELVETAS Swiss Intercooperation/Haiti,7 Aout 2024,Jacmel,Sciences de l’Ingénieur,Génie Civil,Non précisé,3.0,CDD,"['Diplôme universitaire en génie civil ou dans un domaine similaire', 'Connaissances en ingénierie des travaux de génie civil', 'Connaissances informatiques', 'Connaissance et expérience de travail dans l’urgence avec les communautés', 'Expérience de collaboration avec les Responsables de la Protection Civile']",https://jobpaw.com/professionals/job-details?idj=16502
Officier/re des Ressources Humaines,Institut  de Formation du Sud,8 Aout 2024,Delmas,"Management/Gestion, Finance, Comptabilité et Commerce",Gestion des Ressources Humaines,Licence,,CDD,"['Bonne connaissance du Français et du Créole', 'Maitrise des logiciels de bureautique : Word, Excel, PowerPoint', 'Excellente aptitude de communication (Écoute, production et gestion des feedbacks)', 'Capacité de leadership et aptitude à élaborer des politiques d’entreprise claires et justes', 'Compétences organisationnelles exceptionnelles']",https://jobpaw.com/professionals/job-details?idj=16503
Senior Technical Specialist HIV/TB,Interchurch Medical Assistance World Health,8 Aout 2024,Port-au-Prince,Santé et Professions médicales,Management et Gestion des services de santé,Master,5.0,CDI,"['Intégrité', 'Engagement', 'Rigueur et sens des responsabilités', 'Esprit d’analyse et vision stratégique', 'Capacité interrelationnelle démontrée']",https://jobpaw.com/professionals/job-details?idj=16504
Coordonnatrice(eur) de Terrain,CARE Haiti,8 Aout 2024,Petion-Ville,Agriculture – Agroalimentaire,Agronomie,Master,3.0,CDD,"['Expérience de plus de trois (3) ans à travailler sur le terrain avec des ONG dans des conditions difficiles', 'Expériences / Compétences dans l’élaboration des modules de formation et utilisation des techniques non formelles de formation', 'Expérience/compétence dans le renforcement des capacité organisationnelles et gestion des comptes d’exploitation agricole', 'Maitrise de Microsoft Office (Word, Excel, Powerpoint)', 'Bonne capacité de présenter des contenus techniques en créole, français et anglais si possible']",https://jobpaw.com/professionals/job-details?idj=16505
Coordonnateur(trice) transfert monétaire d’urgence,CARE Haiti,8 Aout 2024,Petion-Ville,Sciences Humaines et Sociales,Anthropologie,,5.0,CDD,"['Expérience dans le domaine humanitaire', 'Expérience avec une organisation non-gouvernementale', 'Expérience des mécanismes de transferts monétaires', ""Expérience confirmée du développement d'outils"", ""Connaissance des méthodologies de suivi et d'évaluation""]",https://jobpaw.com/professionals/job-details?idj=16506
Mobilisateur/trice Communautaire,CARE Haiti,9 Aout 2024,Petion-Ville,Sciences Humaines et Sociales,Anthropologie,Licence,2.0,CDD,"['Expériences / Compétences en encadrement de groupe, ou animation communautaire', 'Expérience reconnue dans la collecte et la compilation des données pour produire des rapports d’activités', 'Connaissances avancées en informatique bureautique, notamment maitrise du paquet Microsoft (Word, Excel)', 'Maîtrise du créole haïtien', 'Bonne capacité de communication orale et écrite en français et en créole']",https://jobpaw.com/professionals/job-details?idj=16507
Environmental Compliance Specialist,Land O Lakes,7 Oct 2024,Cap-Haitien,Environnement et Sciences de la Terre,Environnement,Licence,2.0,CDI,"['Excellent analytical and technical writing skills', 'Experience conducting training, training of trainers, and organizational capacity building', 'Ability to communicate effectively, instilling trust and confidence', 'Excellent interpersonal oral and written communication and presentation skills', 'Fluency in oral and written Haitian Creole and French']",https://jobpaw.com/professionals/job-details?idj=16508
Senior Procurement Officer,Mercy Corps Haiti,9 Aout 2024,Port-au-Prince,"Management/Gestion, Finance, Comptabilité et Commerce",Passation de Marchés / Procurement,Non précisé,4.0,CDI,"['Aptitudes en administration', 'Organisation', 'Proactivité', 'Flexibilité', 'Capacité de communiquer efficacement']",https://jobpaw.com/professionals/job-details?idj=16509
